OBJECTNUMMER;Modaliteit;Lijn;Lijn_select;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
1;"Tram";"19";"19";"LINESTRING(4.854869 52.380563,4.855431 52.38023,4.855905 52.379895,4.856317 52.379563,4.856645 52.379236,4.85709 52.378685,4.857379 52.378258,4.85745 52.378124,4.857546 52.377938,4.857679 52.377591,4.858534 52.374854,4.85856 52.37469,4.858598 52.374518,4.85906 52.373042,4.859242 52.372463,4.859314 52.372274,4.859478 52.37177,4.859516 52.371702,4.859582 52.371637,4.859664 52.371587,4.859762 52.371544,4.859967 52.371499)";"LINESTRING(52.380563 4.854869,52.38023 4.855431,52.379895 4.855905,52.379563 4.856317,52.379236 4.856645,52.378685 4.85709,52.378258 4.857379,52.378124 4.85745,52.377938 4.857546,52.377591 4.857679,52.374854 4.858534,52.37469 4.85856,52.374518 4.858598,52.373042 4.85906,52.372463 4.859242,52.372274 4.859314,52.37177 4.859478,52.371702 4.859516,52.371637 4.859582,52.371587 4.859664,52.371544 4.859762,52.371499 4.859967)";4.857418;52.376031
2;"Tram";"7";"07";"LINESTRING(4.877699 52.368732,4.877821 52.368747,4.877908 52.368743,4.877997 52.368729,4.878092 52.368686,4.878176 52.368623)";"LINESTRING(52.368732 4.877699,52.368747 4.877821,52.368743 4.877908,52.368729 4.877997,52.368686 4.878092,52.368623 4.878176)";4.8779375;52.368685
3;"Tram";"_";"_";"LINESTRING(4.878623 52.378394,4.877972 52.378549)";"LINESTRING(52.378394 4.878623,52.378549 4.877972)";4.8782975;52.3784715
4;"Tram";"4 | 14";"04|14";"LINESTRING(4.902245 52.377263,4.902291 52.377363,4.902303 52.377429,4.902293 52.37749,4.90226 52.377533,4.902219 52.377575,4.902177 52.377598)";"LINESTRING(52.377263 4.902245,52.377363 4.902291,52.377429 4.902303,52.37749 4.902293,52.377533 4.90226,52.377575 4.902219,52.377598 4.902177)";4.90224;52.3774305
5;"Tram";"1";"01";"LINESTRING(4.91432 52.362487,4.914466 52.362486,4.914576 52.362464,4.914681 52.362409,4.914737 52.362352,4.915275 52.361387,4.915914 52.360259,4.91613 52.359918,4.916463 52.359451,4.916643 52.359179)";"LINESTRING(52.362487 4.91432,52.362486 4.914466,52.362464 4.914576,52.362409 4.914681,52.362352 4.914737,52.361387 4.915275,52.360259 4.915914,52.359918 4.91613,52.359451 4.916463,52.359179 4.916643)";4.9154815;52.360833
6;"Tram";"1";"01";"LINESTRING(4.932206 52.36121,4.932321 52.361162,4.932393 52.361084,4.932484 52.360924,4.932863 52.360496,4.933002 52.360378,4.933176 52.360225,4.933305 52.360183,4.93338 52.360179,4.933437 52.360183,4.933547 52.360209,4.933925 52.360384,4.934005 52.360431,4.93405 52.36048,4.934073 52.360547,4.934086 52.360977,4.934059 52.361045,4.934009 52.361101,4.933917 52.361147,4.933719 52.361192)";"LINESTRING(52.36121 4.932206,52.361162 4.932321,52.361084 4.932393,52.360924 4.932484,52.360496 4.932863,52.360378 4.933002,52.360225 4.933176,52.360183 4.933305,52.360179 4.93338,52.360183 4.933437,52.360209 4.933547,52.360384 4.933925,52.360431 4.934005,52.36048 4.93405,52.360547 4.934073,52.360977 4.934086,52.361045 4.934059,52.361101 4.934009,52.361147 4.933917,52.361192 4.933719)";4.933146;52.3606945
7;"Tram";"3 | 14";"03|14";"LINESTRING(4.933719 52.361192,4.936056 52.361169,4.936239 52.361175,4.93653 52.361201,4.9394651 52.361611)";"LINESTRING(52.361192 4.933719,52.361169 4.936056,52.361175 4.936239,52.361201 4.93653,52.361611 4.9394651)";4.93659205;52.36139
9;"Tram";"26";"26";"LINESTRING(4.902177 52.377598,4.902723 52.377401,4.902943 52.377342)";"LINESTRING(52.377598 4.902177,52.377401 4.902723,52.377342 4.902943)";4.90256;52.37747
10;"Tram";"26";"26";"LINESTRING(4.902943 52.377342,4.902713 52.377369,4.902546 52.377361,4.902371 52.377326,4.902245 52.377263)";"LINESTRING(52.377342 4.902943,52.377369 4.902713,52.377361 4.902546,52.377326 4.902371,52.377263 4.902245)";4.902594;52.377316
11;"Tram";"17";"17";"LINESTRING(4.875852 52.372026,4.875866 52.372109,4.875935 52.372193,4.875999 52.372241)";"LINESTRING(52.372026 4.875852,52.372109 4.875866,52.372193 4.875935,52.372241 4.875999)";4.8759255;52.3721335
